Date,iShares USD Treasury Bond 3-7yr UCITS ETF (Acc)
2004-11,10000
2004-12,10000
2005-01,10446.631157953327
2005-02,10186.823246425998
2005-03,10381.90959318904
2005-04,10530.822025551724
2005-05,11156.682050170493
2005-06,11414.319176332408
2005-07,11276.82404343902
2005-08,11329.055027212435
2005-09,11358.530019460415
2005-10,11312.501310352292
2005-11,11612.01770650633
2005-12,11655.384153341463
2006-01,11329.735893501836
2006-02,11545.024079540666
2006-03,11282.690313623398
2006-04,10899.067471130254
2006-05,10617.007028629914
2006-06,10761.075022585861
2006-07,10839.55107799842
2006-08,10900.903652510831
2006-09,11152.898444322844
2006-10,11171.459123136836
2006-11,10839.764601670271
2006-12,10794.16170877673
2007-01,10965.1584051394
2007-02,10920.62540368489
2007-03,10858.899457339225
2007-04,10681.664009398184
2007-05,10700.28982060291
2007-06,10670.873683827682
2007-07,10688.829455879713
2007-08,10882.031022722453
2007-09,10582.104996231848
2007-10,10454.281323077581
2007-11,10573.062894022893
2007-12,10631.5884082417
2008-01,10839.54588147003
2008-02,10797.127922594149
2008-03,10428.927122255058
2008-04,10383.823348394499
2008-05,10273.26685737709
2008-06,10174.756893829488
2008-07,10340.711304555996
2008-08,11076.073273512458
2008-09,11510.508701802515
2008-10,13080.434143734328
2008-11,13659.5281224373
2008-12,12735.446000854257
2009-01,13621.351685280577
2009-02,13727.810922625364
2009-03,13278.390333635878
2009-04,13131.821681836731
2009-05,12251.871740590044
2009-06,12139.8251762567
2009-07,12196.717514736209
2009-08,12196.938788575795
2009-09,11967.432058417093
2009-10,11871.952198103336
2009-11,11902.986764398887
2009-12,12086.723807062473
2010-01,12689.31211036349
2010-02,13132.596044119873
2010-03,13104.089472812322
2010-04,13392.083892924282
2010-05,14720.202779820325
2010-06,15019.362371300902
2010-07,14307.186718588788
2010-08,14912.552752518981
2010-09,13918.608989429202
2010-10,13789.092511627534
2010-11,14571.029440982522
2010-12,13885.980434963041
2011-01,13622.86786494043
2011-02,13421.842109114463
2011-03,13054.558457352936
2011-04,12656.61890257402
2011-05,13284.206996352275
2011-06,13212.511417223108
2011-07,13647.759064414204
2011-08,13730.520695536788
2011-09,14714.795971521384
2011-10,14177.212606541992
2011-11,14855.93315902825
2011-12,15499.70098766372
2012-01,15328.797182179474
2012-02,14935.715307337288
2012-03,14941.368973965546
2012-04,15281.989878192791
2012-05,16407.270268694174
2012-06,16129.714126539615
2012-07,16654.463958520275
2012-08,16239.557414406481
2012-09,15836.81623212824
2012-10,15716.947328238004
2012-11,15806.839916429646
2012-12,15515.729937541559
2013-01,15029.648798900476
2013-02,15602.335414616184
2013-03,16019.275512936625
2013-04,15776.884573387806
2013-05,15631.444440504296
2013-06,15361.850357027415
2013-07,15164.556484119004
2013-08,15112.006285591919
2013-09,14968.889965937058
2013-10,14899.600472922592
2013-11,14930.238902344838
2013-12,14558.282356597045
2014-01,15028.094381439312
2014-02,14739.372146139016
2014-03,14663.613981526947
2014-04,14671.119591990286
2014-05,15073.967493101552
2014-06,14987.889050988322
2014-07,15231.400789058423
2014-08,15579.428978643124
2014-09,16246.77936269075
2014-10,16481.311192019348
2014-11,16658.175904908472
2014-12,17059.478200168178
2015-01,18731.06822157479
2015-02,18610.33579968169
2015-03,19593.278878932008
2015-04,18767.369836629452
2015-05,19201.0526585786
2015-06,18728.291828137408
2015-07,19214.2065358333
2015-08,18804.332346060484
2015-09,19013.37673565374
2015-10,19243.851656662
2015-11,19958.009348944648
2015-12,19343.761597345798
2016-01,19689.82389789266
2016-02,19861.003328772596
2016-03,19039.664519395552
2016-04,18993.94858954419
2016-05,19379.08682818876
2016-06,19811.909596470367
2016-07,19798.323133776285
2016-08,19645.716536054195
2016-09,19644.371212298338
2016-10,19913.06658128164
2016-11,20061.819213743725
2016-12,20234.160616321424
2017-01,19881.84873890842
2017-02,20241.86232898329
2017-03,20075.10603760766
2017-04,19770.355455173492
2017-05,19350.033549233343
2017-06,18960.394209271035
2017-07,18523.219585565774
2017-08,18503.401191395384
2017-09,18394.890336901546
2017-10,18627.29415526321
2017-11,18223.040433931696
2017-12,18002.92779460515
2018-01,17119.39837583997
2018-02,17397.13335196247
2018-03,17356.410826817435
2018-04,17569.16353792808
2018-05,18280.49852685644
2018-06,18334.14683451367
2018-07,18161.13996878263
2018-08,18423.29393321802
2018-09,18415.39930659855
2018-10,18842.675538710697
2018-11,18928.010495173785
2018-12,19120.852168122983
2019-01,19150.827439274624
2019-02,19242.440180610505
2019-03,19840.32051661151
2019-04,19870.671853693675
2019-05,20342.320022826116
2019-06,20126.905067248834
2019-07,20484.74802109984
2019-08,21143.437499285184
2019-09,21303.849039871475
2019-10,20855.706562736705
2019-11,21112.01372361647
2019-12,20621.551804759212
2020-01,21327.52544665048
2020-02,21886.731178233767
2020-03,22486.729832006276
2020-04,22696.790023904025
2020-05,22223.67544650891
2020-06,22130.774611096655
2020-07,20992.077670849685
2020-08,20791.393041523796
2020-09,21215.565038146415
2020-10,21137.23990466025
2020-11,20671.424450965194
2020-12,20199.35083815932