Date,iShares USD Treasury Bond 0-1yr UCITS ETF (Acc)
2005-11,10000
2005-12,10000
2006-01,9761.259654837313
2006-02,9990.642586665695
2006-03,9838.291578865823
2006-04,9530.511578427346
2006-05,9319.595361962492
2006-06,9467.891013753775
2006-07,9468.765874101071
2006-08,9447.79509933746
2006-09,9632.499600743487
2006-10,9641.252644405025
2006-11,9311.564423367
2006-12,9372.053989328986
2007-01,9564.718764545169
2007-02,9415.695592325625
2007-03,9380.823740309886
2007-04,9220.298743427227
2007-05,9364.994162285087
2007-06,9366.597417906865
2007-07,9265.659011164764
2007-08,9326.092859209839
2007-09,9049.698334013376
2007-10,8910.244894231664
2007-11,8771.843635959205
2007-12,8816.991107402673
2008-01,8786.332266862326
2008-02,8635.534980495102
2008-03,8304.696469879445
2008-04,8456.382267470615
2008-05,8475.363116229904
2008-06,8349.535631159828
2008-07,8450.983986259545
2008-08,8968.066995810897
2008-09,9269.611914728677
2008-10,10420.378241127977
2008-11,10468.795398656206
2008-12,9587.680429942819
2009-01,10408.74459107824
2009-02,10548.617889372366
2009-03,10030.717702593132
2009-04,10062.770763309154
2009-05,9477.271834433983
2009-06,9454.177907641526
2009-07,9455.294356329221
2009-08,9370.581338161343
2009-09,9136.330811543985
2009-10,9041.592092602255
2009-11,8910.362101335952
2009-12,9289.63753888911
2010-01,9587.216280635037
2010-02,9867.09880268347
2010-03,9933.318914942158
2010-04,10057.148280634854
2010-05,10884.1212294437
2010-06,10919.702005030018
2010-07,10287.598011671193
2010-08,10572.418915840397
2010-09,9823.82248027157
2010-10,9677.65461869467
2010-11,10316.969968642452
2010-12,10037.695230830632
2011-01,9797.927504964802
2011-02,9698.757011623264
2011-03,9445.664433124255
2011-04,9033.728544749418
2011-05,9333.28383290938
2011-06,9290.38770930074
2011-07,9414.268846509352
2011-08,9295.95187593198
2011-09,9946.58852758552
2011-10,9593.916559425394
2011-11,10011.512049756862
2011-12,10382.095428826617
2012-01,10195.348983338201
2012-02,9991.625279600401
2012-03,10057.006435503921
2012-04,10166.046810100006
2012-05,10832.241938158591
2012-06,10671.082615307538
2012-07,10938.907348188779
2012-08,10655.803264670334
2012-09,10394.115407903753
2012-10,10343.827024192591
2012-11,10350.877374568556
2012-12,10189.334056237067
2013-01,9922.71727636818
2013-02,10240.684071945083
2013-03,10501.330727788236
2013-04,10288.257691008745
2013-05,10340.457246454678
2013-06,10281.951035230513
2013-07,10132.501125562123
2013-08,10163.348539667963
2013-09,9961.471057823399
2013-10,9861.159512429651
2013-11,9882.220197548508
2013-12,9754.264354628485
2014-01,9953.444804529878
2014-02,9739.679891365924
2014-03,9758.492094296274
2014-04,9715.854148432503
2014-05,9889.084789848313
2014-06,9852.232610437448
2014-07,10058.07918432548
2014-08,10204.459962992612
2014-09,10695.670000007136
2014-10,10744.378546863965
2014-11,10781.156867576854
2014-12,11082.413736707746
2015-01,11905.060894528322
2015-02,11972.96073899564
2015-03,12508.648857757116
2015-04,12003.223027830229
2015-05,12271.482477162737
2015-06,12032.445153575647
2015-07,12275.543900079438
2015-08,12003.880082743442
2015-09,12022.852906635191
2015-10,12223.31231507393
2015-11,12725.063848140215
2015-12,12365.756097312405
2016-01,12337.516099645116
2016-02,12376.308266429993
2016-03,11844.947946781687
2016-04,11831.201719471734
2016-05,12095.099911284386
2016-06,12163.88385628817
2016-07,12154.537016005308
2016-08,12135.331233539919
2016-09,12110.024211081814
2016-10,12351.508421531238
2016-11,12712.312820779945
2016-12,12831.660435102924
2017-01,12584.559913541038
2017-02,12777.502696164767
2017-03,12663.946345896005
2017-04,12393.700835097197
2017-05,12077.69070759777
2017-06,11884.04888128186
2017-07,11575.524791909464
2017-08,11491.051227647455
2017-09,11517.461990378766
2017-10,11691.888606153781
2017-11,11490.300570118163
2017-12,11362.484136718107
2018-01,10950.083564700284
2018-02,11175.762647358866
2018-03,11094.257613925653
2018-04,11330.125001940654
2018-05,11717.277419361584
2018-06,11776.893399233011
2018-07,11716.748794477278
2018-08,11823.94396090562
2018-09,11916.019015465426
2018-10,12209.500922169149
2018-11,12189.262828180497
2018-12,12118.417604006316
2019-01,12105.691565686218
2019-02,12204.093205687486
2019-03,12429.346187846955
2019-04,12472.266182393809
2019-05,12577.17972155454
2019-06,12356.388416551537
2019-07,12628.92016067538
2019-08,12792.417662486581
2019-09,12984.46816999107
2019-10,12705.61824354959
2019-11,12918.69023084329
2019-12,12647.315258947936
2020-01,12874.806201498299
2020-02,12992.032790912546
2020-03,13079.704752829875
2020-04,13174.583730603132
2020-05,12865.254754784857
2020-06,12795.310677331501
2020-07,12096.161342114685
2020-08,12002.80319401251
2020-09,12242.557838585113
2020-10,12253.146531089677
2020-11,11966.219624279378
2020-12,11682.131960598399
2021-01,11812.724799078129
2021-02,11828.978391991013
2021-03,12229.15497630958
2021-04,11867.426517975277
2021-05,11751.75723897683
2021-06,12064.092747216871
2021-07,12056.738281108866
2021-08,12115.354290384772
2021-09,12381.922763877543
2021-10,12310.21779600058
2021-11,12615.243246191458
2021-12,12654.535296817769
2022-01,12840.143324936998
2022-02,12788.05790192007
2022-03,12894.771590120678
2022-04,13579.463760685116
2022-05,13372.01849377685
2022-06,13777.892335855871
2022-07,14044.656376826671
2022-08,14339.610373854986
2022-09,14722.670273777067
2022-10,14495.568241539575
2022-11,13893.070367352577
2022-12,13568.154217493657
2023-01,13403.460056166616
2023-02,13711.899136720967
2023-03,13458.650981817691
2023-04,13369.299771591312
2023-05,13783.704654601355
2023-06,13609.3082776447
2023-07,13471.05046820973
2023-08,13723.382436032547
2023-09,14139.58077756386
2023-10,14168.64015649549
2023-11,13831.138073080783