Date,Xtrackers Eurozone Government Bond 3-5 UCITS ETF 1C
2006-12,10000
2007-01,10000
2007-02,10072.010627402446
2007-03,10056.684303379987
2007-04,10056.492761430814
2007-05,9992.675696230785
2007-06,9983.974896317477
2007-07,10077.727663694935
2007-08,10194.1362455219
2007-09,10214.976446121666
2007-10,10253.136464893394
2007-11,10355.758013926456
2007-12,10326.397010647337
2008-01,10566.310163709364
2008-02,10657.661691754214
2008-03,10575.42495575775
2008-04,10512.100474535975
2008-05,10393.469291534924
2008-06,10295.589711296396
2008-07,10459.267429645373
2008-08,10569.489955384332
2008-09,10690.709300393199
2008-10,10914.515924786272
2008-11,11116.379660420187
2008-12,11265.287452812301
2009-01,11338.316510012688
2009-02,11431.196388724205
2009-03,11522.737065252377
2009-04,11554.408066568863
2009-05,11515.298098207142
2009-06,11604.17940089253
2009-07,11703.604183140633
2009-08,11719.963774134245
2009-09,11793.861788671647
2009-10,11825.106237112925
2009-11,11899.031744857666
2009-12,11855.549269691175
2010-01,11928.202484120848
2010-02,12063.080159071218
2010-03,12111.311508400353
2010-04,12142.826382587404
2010-05,12232.921345483624
2010-06,12233.510334729588
2010-07,12297.307856713514
2010-08,12434.731966126503
2010-09,12367.232944339605
2010-10,12337.431963171543
2010-11,12154.3010111839
2010-12,12163.989595059105
2011-01,12081.036806223245
2011-02,12104.195015483854
2011-03,12053.26032188935
2011-04,12091.686125872246
2011-05,12185.295060831188
2011-06,12202.17425563033
2011-07,12207.357876896414
2011-08,12520.697055407
2011-09,12550.668277808356
2011-10,12437.77286915349
2011-11,12205.893396719795
2011-12,12584.97288399105
2012-01,12819.566032049543
2012-02,12988.475521361275
2012-03,12946.167485385355
2012-04,12916.419827078822
2012-05,12826.48925501714
2012-06,12872.75224944402
2012-07,12958.047479473084
2012-08,13098.982855352024
2012-09,13228.108840073606
2012-10,13301.261899854973
2012-11,13412.654281739928
2012-12,13472.437615203944
2013-01,13417.725180868505
2013-02,13465.255983692832
2013-03,13500.457388142524
2013-04,13698.813113585215
2013-05,13619.473412279312
2013-06,13494.930427547926
2013-07,13588.629348017892
2013-08,13570.404483849576
2013-09,13650.341281724232
2013-10,13789.298509116072
2013-11,13850.226813094048
2013-12,13775.399212800246
2014-01,13973.67100187567
2014-02,14017.03925115645
2014-03,14104.499856463783
2014-04,14160.528479438255
2014-05,14239.308403302935
2014-06,14338.06975252331
2014-07,14394.84492940069
2014-08,14479.985928795713
2014-09,14520.803120810706
2014-10,14491.865300629026
2014-11,14537.614642296894
2014-12,14578.664553365888
2015-01,14632.599466526497
2015-02,14703.09739051977
2015-03,14712.454996126753
2015-04,14678.035624947084
2015-05,14654.52171557847
2015-06,14557.902431677974
2015-07,14680.60838243302
2015-08,14629.087907546142
2015-09,14693.455329596145
2015-10,14766.484415741603
2015-11,14828.739994650296
2015-12,14752.762284548642
2016-01,14878.765070837038
2016-02,14911.214961337519
2016-03,14912.867298391842
2016-04,14891.974476971822
2016-05,14930.433483427281
2016-06,15005.231330448358
2016-07,15023.620175857754
2016-08,15022.146015418539
2016-09,15037.245354937808
2016-10,14938.756480496284
2016-11,14894.581566864348
2016-12,14988.241808411187
2017-01,14877.415962685687
2017-02,14948.260600520343
2017-03,14906.069194473219
2017-04,14944.77768750202
2017-05,14988.85565158703
2017-06,14938.885132669506
2017-07,14975.091993526989
2017-08,15026.762967658795
2017-09,15010.157286928483
2017-10,15078.866376431954
2017-11,15091.50195492108
2017-12,15008.115089729261
2018-01,14961.269548369433
2018-02,14988.323147713547
2018-03,15090.53448634189
2018-04,15072.964480640741
2018-05,14742.344422896058
2018-06,14875.786706366878
2018-07,14842.698767986778
2018-08,14682.356461513631
2018-09,14730.442021307823
2018-10,14724.007767400411
2018-11,14835.539924121389
2018-12,14989.343183448942
2019-01,15067.137194440795
2019-02,15026.097275567678
2019-03,15114.085932455739
2019-04,15117.633975176026
2019-05,15134.201564766201
2019-06,15291.899452910971
2019-07,15427.186999629246
2019-08,15549.442032942932
2019-09,15541.940821129341
2019-10,15469.848859622853
2019-11,15400.395419963004
2019-12,15377.04508501097
2020-01,15490.104103016894
2020-02,15469.59297322531
2020-03,15311.059822296798
2020-04,15303.829093904733
2020-05,15342.193290707537
2020-06,15436.672456732807
2020-07,15487.450447477775
2020-08,15462.742821523347
2020-09,15535.379809275188
2020-10,15603.673997086742
2020-11,15606.692632853337
2020-12,15608.5363967194
2021-01,15576.896239331729
2021-02,15501.889323746269
2021-03,15548.180672260878
2021-04,15496.015145461726
2021-05,15493.561480276789
2021-06,15507.478061311773
2021-07,15592.64098877311
2021-08,15557.506866142321
2021-09,15501.446448090841
2021-10,15356.496782604818
2021-11,15502.096542553934
2021-12,15391.105672960593
2022-01,15313.48124821915
2022-02,15189.992716791863
2022-03,14945.05117734169
2022-04,14701.286095477048
2022-05,14584.406151661442
2022-06,14486.642209599682
2022-07,14744.989503902289
2022-08,14288.803284757523
2022-09,13975.31588149946
2022-10,14022.145830392272
2022-11,14104.112241830213
2022-12,13812.872662336946
2023-01,13973.883758214093
2023-02,13783.86656912344
2023-03,14034.328650404248
2023-04,14046.506229127408
2023-05,14110.369903443248
2023-06,13973.860290604007
2023-07,14048.000589123178
2023-08,14108.456368255895
2023-09,13957.517463068538
2023-10,14063.592502232952
2023-11,14281.417120621372
2023-12,14579.019911656776