Date,Solactive â‚¬STR +8.5 Daily
2003-01,10000
2003-02,10021.351745056174
2003-03,10045.197852852554
2003-04,10066.749146927943
2003-05,10088.001117474507
2003-06,10107.457146848123
2003-07,10125.616107596832
2003-08,10142.877097759065
2003-09,10161.235607526989
2003-10,10178.995470237263
2003-11,10194.36074471694
2003-12,10213.617225071339
2004-01,10230.878215233572
2004-02,10247.041685790115
2004-03,10265.89906810608
2004-04,10283.559156306746
2004-05,10301.31901901702
2004-06,10318.779558198472
2004-07,10336.539420908746
2004-08,10355.297028715102
2004-09,10372.957116915772
2004-10,10390.617205116438
2004-11,10409.973459980445
2004-12,10428.232195238761
2005-01,10446.989803045119
2005-02,10463.652146149701
2005-03,10482.210204936842
2005-04,10499.770518627902
2005-05,10519.12677349191
2005-06,10537.185959731009
2005-07,10554.746273422064
2005-08,10574.80094985333
2005-09,10593.259234130865
2005-10,10612.216390956437
2005-11,10630.674675233971
2005-12,10650.52980264602
2006-01,10672.67974377906
2006-02,10692.135773152677
2006-03,10715.283459381797
2006-04,10737.23385149562
2006-05,10762.676351445733
2006-06,10786.722008261328
2006-07,10812.96270428831
2006-08,10840.600243449804
2006-09,10867.140263005607
2006-10,10898.669008041825
2006-11,10929.000458962742
2006-12,10959.731007922097
2007-01,10995.749605890687
2007-02,11026.28060583082
2007-03,11060.10416458803
2007-04,11096.621635104664
2007-05,11132.93955660208
2007-06,11168.35950751302
2007-07,11208.768183904376
2007-08,11247.879791670824
2007-09,11283.00041905294
2007-10,11323.80819348273
2007-11,11361.922056153095
2007-12,11399.836369804243
2008-01,11439.147526589906
2008-02,11476.363418673798
2008-03,11516.772095065153
2008-04,11555.085506754733
2008-05,11593.698241973141
2008-06,11633.608045816454
2008-07,11675.613114361544
2008-08,11716.121565262507
2008-09,11760.720771057411
2008-10,11799.632829804643
2008-11,11828.966535629477
2008-12,11856.10520224293
2009-01,11874.862810049288
2009-02,11886.43665316385
2009-03,11897.611398239978
2009-04,11906.491329595116
2009-05,11913.675094286911
2009-06,11921.158182507534
2009-07,11924.750064853431
2009-08,11928.34194719933
2009-09,11931.83405503562
2009-10,11935.425937381518
2009-11,11939.117594237023
2009-12,11942.709476582922
2010-01,11946.101809909604
2010-02,11949.19481970746
2010-03,11952.886476562968
2010-04,11956.378584399257
2010-05,11959.870692235549
2010-06,11963.26302556223
2010-07,11968.052202023428
2010-08,11972.5420549558
2010-09,11976.832358868958
2010-10,11983.517251012712
2010-11,11989.902819627641
2010-12,11994.891545108056
2011-01,12001.57643725181
2011-02,12008.161554885957
2011-03,12014.746672520105
2011-04,12024.125476423285
2011-05,12035.39999600902
2011-06,12046.474966575537
2011-07,12056.452417536366
2011-08,12066.429868497195
2011-09,12076.307544948415
2011-10,12086.684093947679
2011-11,12094.666054716341
2011-12,12100.951848821664
2012-01,12105.24215273482
2012-02,12108.834035080716
2012-03,12112.425917426615
2012-04,12116.117574282123
2012-05,12119.609682118413
2012-06,12122.802466425877
2012-07,12124.99750563726
2012-08,12126.194799752557
2012-09,12127.092770339033
2012-10,12128.190289944725
2012-11,12128.888711511985
2012-12,12129.68690758885
2013-01,12130.385329156108
2013-02,12131.083750723365
2013-03,12131.682397781015
2013-04,12132.58036836749
2013-05,12133.478338953964
2013-06,12134.276535030831
2013-07,12135.37405463652
2013-08,12136.172250713385
2013-09,12137.070221299862
2013-10,12137.968191886337
2013-11,12138.965936982422
2013-12,12140.761878155368
2014-01,12142.956917366751
2014-02,12144.453535010876
2014-03,12146.349250693434
2014-04,12148.94338794325
2014-05,12151.437750683457
2014-06,12152.435495779539
2014-07,12152.93436832758
2014-08,12153.133917346797
2014-09,12153.133917346797
2014-10,12153.133917346797
2014-11,12153.034142837188
2014-12,12152.734819308364
2015-01,12152.235946760322
2015-02,12152.036397741105
2015-03,12151.537525193064
2015-04,12150.839103625805
2015-05,12149.841358529722
2015-06,12148.644064414422
2015-07,12147.346995789516
2015-08,12146.149701674214
2015-09,12144.752858539701
2015-10,12143.356015405185
2015-11,12141.959172270668
2015-12,12139.764133059287
2016-01,12137.668868357512
2016-02,12135.074731107698
2016-03,12132.081495819448
2016-04,12128.788937002373
2016-05,12125.197054656477
2016-06,12121.804721329794
2016-07,12118.61193702233
2016-08,12114.820505657215
2016-09,12111.328397820924
2016-10,12107.736515475026
2016-11,12104.244407638736
2016-12,12100.652525292839
2017-01,12096.960868437332
2017-02,12093.56853511065
2017-03,12089.976652764752
2017-04,12086.584319438072
2017-05,12082.59333905374
2017-06,12079.001456707841
2017-07,12075.309799852334
2017-08,12071.61814299683
2017-09,12068.126035160538
2017-10,12064.234829285815
2017-11,12060.742721449524
2017-12,12057.45016263245
2018-01,12053.45918224812
2018-02,12050.066848921437
2018-03,12046.474966575537
2018-04,12042.583760700816
2018-05,12038.792329335702
2018-06,12035.300221499412
2018-07,12031.409015624686
2018-08,12027.717358769181
2018-09,12024.3250254425
2018-10,12020.334045058169
2018-11,12016.642388202665
2018-12,12012.950731347155
2019-01,12009.159299982042
2019-02,12005.76696665536
2019-03,12002.175084309461
2019-04,11998.283878434737
2019-05,11994.492447069622
2019-06,11991.19988825255
2019-07,11987.208907868218
2019-08,11983.517251012712
2019-09,11979.426496118771
2019-10,11974.637319657573
2019-11,11970.247241234809
2019-12,11965.458064773611
2020-01,11960.768662822022
2020-02,11956.578133418472
2020-03,11951.788956957278
2020-04,11947.299104024903
2020-05,11942.909025602139
2020-06,11938.020074631333
2020-07,11933.230898170135
2020-08,11928.441721708938
2020-09,11923.752319757348
2020-10,11919.162692315365
2020-11,11914.27374134456
2020-12,11909.484564883365
2021-01,11904.795162931774
2021-02,11900.40508450901
2021-03,11895.216810009379
2021-04,11890.42763354818
2021-05,11885.538682577375
2021-06,11880.749506116177
2021-07,11875.96032965498
2021-08,11870.871829664957
2021-09,11866.082653203759
2021-10,11861.493025761778
2021-11,11856.304751262147
2021-12,11851.316025781733
2022-01,11846.227525791712
2022-02,11841.737672859337
2022-03,11836.649172869316
2022-04,11831.959770917723
2022-05,11826.671721908488
2022-06,11821.782770937682
2022-07,11817.392692514917
2022-08,11817.392692514917
2022-09,11821.28389838964
2022-10,11828.866761119869
2022-11,11843.034741484245
2022-12,11859.198212040788
2023-01,11880.150859058527
2023-02,11901.801927643524
2023-03,11928.741045237763
2023-04,11931.734280526009