Date,Invesco Bloomberg Commodity UCITS ETF Acc
2005-02,10000
2005-03,10000
2005-04,9420.073793622367
2005-05,9820.191801579413
2005-06,10181.041726125071
2005-07,10635.099035566796
2005-08,11337.693028007843
2005-09,12017.212899499082
2005-10,11277.96073233189
2005-11,11549.021988198117
2005-12,11887.295604411116
2006-01,11784.556861063245
2006-02,11270.842346609646
2006-03,11302.030394717103
2006-04,11649.428933580688
2006-05,11456.609129333023
2006-06,11414.270122723008
2006-07,11729.080395453337
2006-08,11230.704129940263
2006-09,10711.90146200135
2006-10,11186.409847483072
2006-11,11346.046596964316
2006-12,10847.694533685924
2007-01,11050.035232044149
2007-02,11198.303536862139
2007-03,11214.816332259674
2007-04,11103.474666114218
2007-05,11241.70282884171
2007-06,11040.11283793528
2007-07,11101.485077887171
2007-08,10698.128679329824
2007-09,11166.538733508081
2007-10,11322.718085032606
2007-11,10732.641810866877
2007-12,11258.659771894832
2008-01,11614.950136458263
2008-02,12784.521615045356
2008-03,11483.25067872603
2008-04,12098.625517519658
2008-05,12453.222687316222
2008-06,13363.789263056264
2008-07,11892.84099092058
2008-08,11680.343430788664
2008-09,10644.06219574029
2008-10,9392.317727949028
2008-11,8757.887186182545
2008-12,7648.3904639391385
2009-01,7857.972010586751
2009-02,7610.6235313362495
2009-03,7490.122681257986
2009-04,7562.494113911443
2009-05,8046.008939777505
2009-06,7871.414112478142
2009-07,8122.219414002567
2009-08,7997.728958663304
2009-09,7916.545523341384
2009-10,8088.16806855512
2009-11,8247.239781041953
2009-12,8769.37104221481
2010-01,8385.790253188059
2010-02,8949.800288718288
2010-03,8896.752253168745
2010-04,9180.140849105364
2010-05,9242.95518715728
2010-06,9298.075591400015
2010-07,9349.506281759308
2010-08,9360.16577208315
2010-09,9326.393727012186
2010-10,9641.923274117657
2010-11,10241.119207046135
2010-12,11025.4003612164
2011-01,10865.754991182159
2011-02,10894.125479612027
2011-03,10825.594065910458
2011-04,10706.524336055283
2011-05,10498.773940314355
2011-06,9920.814520407761
2011-07,10351.169963250755
2011-08,10315.485813105814
2011-09,9410.65032570357
2011-10,9675.309373221271
2011-11,9870.08094835486
2011-12,9850.390601238
2012-01,9910.717980570163
2012-02,9974.40803540883
2012-03,9622.585699999298
2012-04,9683.223095995842
2012-05,9372.970572370774
2012-06,9739.413955344657
2012-07,10625.893735729393
2012-08,10483.253291875195
2012-09,10397.347937980881
2012-10,9944.57100485588
2012-11,9953.55404285323
2012-12,9539.68811357043
2013-01,9509.941652173557
2013-02,9412.281540498401
2013-03,9714.259030457966
2013-04,9248.456016798622
2013-05,9085.5239919909
2013-06,8606.97093510169
2013-07,8594.60334185499
2013-08,8912.511076611745
2013-09,8509.726192688462
2013-10,8299.080302163207
2013-11,8249.743650487528
2013-12,8241.687176934167
2014-01,8432.979991623344
2014-02,8764.71143595516
2014-03,8815.34442187826
2014-04,8988.311123015017
2014-05,8884.295727422723
2014-06,8902.591245664815
2014-07,8633.945697205243
2014-08,8666.15674969153
2014-09,8515.987570959176
2014-10,8486.033897190948
2014-11,8166.074548310729
2014-12,7754.409083329024
2015-01,8048.783980361452
2015-02,8302.506493396275
2015-03,8226.903883343119
2015-04,8343.540026542209
2015-05,8298.343151016748
2015-06,8275.05445786951
2015-07,7544.91381349965
2015-08,7309.034204087665
2015-09,7065.659201021852
2015-10,7151.747072948305
2015-11,6906.3006691607625
2015-12,6502.765030881507
2016-01,6373.151848081874
2016-02,6286.977231731799
2016-03,6241.241059342305
2016-04,6760.7568685595525
2016-05,6897.790729958998
2016-06,7215.1781993181585
2016-07,6838.632433763349
2016-08,6705.493820267074
2016-09,6896.2988411477145
2016-10,6996.393786884197
2016-11,7296.023971468788
2016-12,7492.491198787656
2017-01,7352.181920223006
2017-02,7476.220247006259
2017-03,7212.301466514378
2017-04,6946.91701497836
2017-05,6675.817267767285
2017-06,6550.522658524029
2017-07,6517.647364649434
2017-08,6488.616131804946
2017-09,6488.2139205411795
2017-10,6722.166229311877
2017-11,6570.933295184487
2017-12,6684.93197011376
2018-01,6562.546615133317
2018-02,6576.464797717566
2018-03,6477.827244404507
2018-04,6777.266424031165
2018-05,7095.274751615886
2018-06,6870.142997498518
2018-07,6677.765351838969
2018-08,6606.6399782275685
2018-09,6775.621295270086
2018-10,6779.63893965586
2018-11,6715.719613606609
2018-12,6202.573748360187
2019-01,6517.813439567329
2019-02,6624.093416731038
2019-03,6717.891672171275
2019-04,6698.482876654941
2019-05,6511.3184481582975
2019-06,6550.265309880149
2019-07,6639.1278933245785
2019-08,6551.504836055899
2019-09,6716.808266941889
2019-10,6688.726617508111
2019-11,6618.59721273585
2019-12,6795.057525626891
2020-01,6397.897472973792
2020-02,6115.990838232369
2020-03,5341.950926302899
2020-04,5297.603964030619
2020-05,5397.303945066844
2020-06,5489.326941930379
2020-07,5483.311968209495
2020-08,5808.129144067151
2020-09,5723.926072224497
2020-10,5808.6057943416745
2020-11,5870.313069603536
2020-12,6015.030582751277
2021-01,6240.857564774538
2021-02,6651.716964421558
2021-03,6727.646925905698
2021-04,7069.054567031292
2021-05,7190.200893857245
2021-06,7517.547441659616
2021-07,7650.009119272074
2021-08,7662.836578296838
2021-09,8220.10559609894
2021-10,8383.419192241643
2021-11,7961.929180439369
2021-12,8268.183410559182
2022-01,9130.034209436993
2022-02,9659.995086023366
2022-03,10586.27752216309
2022-04,11609.71938402011
2022-05,11594.877045280802
2022-06,10668.132672804102
2022-07,11327.63889648179
2022-08,11560.291055398233
2022-09,10895.550888743952
2022-10,10924.717735059654
2022-11,10722.466365199867
2022-12,10173.90191793328
2023-01,9966.15865454842
2023-02,9687.989012571721
2023-03,9438.925200322034
2023-04,9276.020035496651
2023-05,8995.796394912126
2023-06,9199.984779366278
2023-07,9635.052537710208
2023-08,9695.90395742015
2023-09,9876.078107857786
2023-10,9877.408161771473
2023-11,9377.86206290391
2023-12,9025.81160346642