Date,iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc)
1994-04,10000
1994-05,10000
1994-06,9714.080886856183
1994-07,9944.322911137486
1994-08,11355.854797305032
1994-09,11441.908372827062
1994-10,11180.866697657544
1994-11,10688.487225656845
1994-12,10468.079346184002
1995-01,9376.910450760291
1995-02,9276.296136384313
1995-03,8941.991483651964
1995-04,8970.242389160518
1995-05,9659.590606144013
1995-06,9547.911920772849
1995-07,9609.735764701085
1995-08,9629.96892555579
1995-09,9699.051236206358
1995-10,9258.687231367612
1995-11,9017.063245953255
1995-12,9571.147222204912
1996-01,10442.25682608142
1996-02,10354.492237321432
1996-03,10353.823876034183
1996-04,10803.796932349174
1996-05,10787.135440377508
1996-06,10737.337376712769
1996-07,9851.925033231673
1996-08,10006.250590732796
1996-09,10163.495801088158
1996-10,9907.813271478406
1996-11,9913.570698822332
1996-12,10135.69042739012
1997-01,11110.861132837694
1997-02,12149.49010014556
1997-03,11981.254085193645
1997-04,11820.709393697185
1997-05,11951.9398495942
1997-06,12684.866910691017
1997-07,13158.998051913883
1997-08,11796.616596689937
1997-09,11620.164942591364
1997-10,9478.161384725816
1997-11,8811.105153256683
1997-12,9087.342204807708
1998-01,8642.217116553562
1998-02,9536.82926081394
1998-03,9896.709742837465
1998-04,9763.451207988155
1998-05,8343.63906244685
1998-06,7444.291032062952
1998-07,7598.289949233115
1998-08,5444.546635419839
1998-09,5369.26606785273
1998-10,5683.748768167789
1998-11,6273.4357576292405
1998-12,6042.7879386643035
1999-01,5926.26285608092
1999-02,6201.854074610459
1999-03,7216.822767616226
1999-04,8236.583557359681
1999-05,8260.86640286155
1999-06,9222.226196248115
1999-07,8693.728052106351
1999-08,8743.152323659211
1999-09,8319.538165626216
1999-10,8679.224223811374
1999-11,9874.836848110835
1999-12,11499.831005615708
2000-01,11850.122795141815
2000-02,11918.07853456056
2000-03,12113.972022290565
2000-04,11393.346261968209
2000-05,10530.814460575459
2000-06,10578.66724680495
2000-07,10402.023759442643
2000-08,10906.458240486589
2000-09,9979.595561749078
2000-10,9557.203210354855
2000-11,8499.2279423321
2000-12,8027.986837113814
2001-01,9128.032315975206
2001-02,8489.203324742462
2001-03,8055.890846620718
2001-04,8347.44303334694
2001-05,8831.602988341587
2001-06,8672.590416365621
2001-07,7859.075276237661
2001-08,7432.783693377406
2001-09,6307.038583575783
2001-10,6716.902325641204
2001-11,7581.111253490255
2001-12,8307.525244258839
2002-01,8757.16320722786
2002-02,8868.77026131328
2002-03,9367.02432556084
2002-04,9132.389501665044
2002-05,8578.027726109078
2002-06,7458.81243807975
2002-07,7059.579742005005
2002-08,7128.295534464853
2002-09,6337.952086898277
2002-10,6723.956278228788
2002-11,7127.24858074159
2002-12,6527.069807912271
2003-01,6333.036415460861
2003-02,6173.221361132682
2003-03,5909.464636144808
2003-04,6271.303547311697
2003-05,6335.257975560271
2003-06,6942.98098183934
2003-07,7427.753281993713
2003-08,8199.677586600827
2003-09,7725.289552905516
2003-10,8368.512609728117
2003-11,8238.598342488092
2003-12,8353.956846044213
2004-01,8837.246528452966
2004-02,9244.069120190386
2004-03,9514.840237718892
2004-04,8975.533662611553
2004-05,8613.395096887323
2004-06,8665.126021225107
2004-07,8557.55105014125
2004-08,8866.491671118305
2004-09,9151.28600736866
2004-10,9143.649273773624
2004-11,9568.978429299517
2004-12,9821.738261421053
2005-01,10288.837540104521
2005-02,11000.177354979945
2005-03,10530.229612121972
2005-04,10247.463740039799
2005-05,11138.831630653587
2005-06,11759.543160311227
2005-07,12555.896540315765
2005-08,12525.778424766751
2005-09,13794.783961258612
2005-10,12919.974037601098
2005-11,14299.340849628836
2005-12,15166.704822319856
2006-01,16334.791042487142
2006-02,16660.14223454856
2006-03,16474.985907063878
2006-04,17059.436907374216
2006-05,14957.086157824726
2006-06,14984.775594073782
2006-07,15130.65417577432
2006-08,15428.900241644575
2006-09,15819.489815392448
2006-10,16516.94597587513
2006-11,17101.7686919609
2006-12,17911.92310006714
2007-01,18021.795688991093
2007-02,17639.341551285368
2007-03,18198.75413390658
2007-04,18692.043788754578
2007-05,19890.713199771795
2007-06,20753.46205796015
2007-07,21621.11036484467
2007-08,21084.767126328315
2007-09,22546.9094777923
2007-10,24497.67146849594
2007-11,22285.941840931086
2007-12,22428.440127074566
2008-01,19376.47159679091
2008-02,20405.555382737875
2008-03,18516.76510858355
2008-04,20321.292068348495
2008-05,20694.593384836502
2008-06,18282.4957960238
2008-07,17811.181984123607
2008-08,17382.630027830015
2008-09,14714.216715944262
2008-10,11931.858290926933
2008-11,11079.720794078763
2008-12,10979.163278551583
2009-01,11158.410167110735
2009-02,10696.161120263198
2009-03,11620.338333066893
2009-04,13663.044607137426
2009-05,15159.864484411732
2009-06,14937.98470785334
2009-07,16645.893450536256
2009-08,16462.213611241015
2009-09,17482.911286142225
2009-10,17328.531653637674
2009-11,17811.321752758813
2009-12,19364.016473484196
2010-01,18905.634397641723
2010-02,19524.09091454292
2010-03,21259.600140427203
2010-04,21816.761850436327
2010-05,21486.69317861285
2010-06,21450.66252978419
2010-07,21868.74425076256
2010-08,22099.279247247992
2010-09,22839.064969275518
2010-10,23184.021597742503
2010-11,24075.434070601663
2010-12,25053.69485481078
2011-01,23771.843530857244
2011-02,23224.599330090623
2011-03,23911.35544809721
2011-04,23607.10004042102
2011-05,23737.888105373044
2011-06,23250.319501866037
2011-07,23539.883390714822
2011-08,21097.921934818536
2011-09,19250.1752278185
2011-10,20948.36223280754
2011-11,20360.1991858064
2011-12,20855.645720269178
2012-01,22790.600771193913
2012-02,23748.86151887347
2012-03,23107.17719102701
2012-04,23060.334017587527
2012-05,21884.97135881236
2012-06,22376.50828784641
2012-07,23338.84306130958
2012-08,22731.748691003468
2012-09,23513.687592219947
2012-10,23233.941555041707
2012-11,23552.500528426313
2012-12,24311.74832337054
2013-01,24035.626033999277
2013-02,24563.684830497394
2013-03,24813.27709332472
2013-04,24532.12432469891
2013-05,24090.217997779553
2013-06,22363.630357662034
2013-07,22261.613550866157
2013-08,21906.499044987653
2013-09,22866.996899594604
2013-10,23705.13505202765
2013-11,23400.010060661327
2013-12,22784.415022442052
2014-01,21848.00496028922
2014-02,22111.49247608582
2014-03,22806.838802546434
2014-04,22786.762730942555
2014-05,23990.574161975368
2014-06,24516.069776961507
2014-07,25488.67411861032
2014-08,26451.953757267132
2014-09,25778.72442099512
2014-10,26104.65385017208
2014-11,25894.95517861125
2014-12,25466.760667673556
2015-01,27542.682614401125
2015-02,28527.889834079007
2015-03,29431.578900469438
2015-04,30460.3462170326
2015-05,30079.704325448893
2015-06,28657.548379732023
2015-07,27190.848356004786
2015-08,24167.85854289067
2015-09,23569.11701411559
2015-10,25633.97618726236
2015-11,25700.503126038533
2015-12,24507.76379422017
2016-01,22797.409250722525
2016-02,22819.6405878307
2016-03,24613.827840258862
2016-04,24741.43443256063
2016-05,24358.89827241043
2016-06,25418.48377180228
2016-07,26655.673601826606
2016-08,27253.00991032335
2016-09,27536.148565497384
2016-10,28075.956892131675
2016-11,27561.841301118973
2016-12,27868.950348286435
2017-01,28777.770987132066
2017-02,30181.045608524084
2017-03,30677.578831808194
2017-04,30622.36432583645
2017-05,30622.248283654688
2017-06,30418.262550571828
2017-07,31291.354546201685
2017-08,31720.232393275823
2017-09,31665.008915968156
2017-10,33245.79110073388
2017-11,32782.459477965196
2017-12,33567.76682667586
2018-01,34901.47026603606
2018-02,33976.90970920393
2018-03,33084.15711349054
2018-04,33613.34161224658
2018-05,33544.29944231396
2018-06,32183.108083763163
2018-07,32658.708212277124
2018-08,32035.658135426453
2018-09,31974.292056032293
2018-10,29786.32444817573
2018-11,30943.27818190831
2018-12,29933.875909694176
2019-01,32331.576253850722
2019-02,32644.78897499931
2019-03,33454.39840831618
2019-04,34142.14228547275
2019-05,31946.71629792795
2019-06,33195.06348586821
2019-07,33476.284080110505
2019-08,32176.932943630654
2019-09,33241.323429925986
2019-10,33804.46882141197
2019-11,34266.816949951826
2019-12,35966.266705800335
2020-01,34876.127029296294
2020-02,33193.63586132487
2020-03,27876.50536752663
2020-04,30780.642133142854
2020-05,30341.096796733083
2020-06,32451.225808931675
2020-07,33444.170522438704
2020-08,33986.82442413627
2020-09,34105.95428536575
2020-10,34750.52816975989
2020-11,37225.617666791615
2020-12,39040.565245607635
2021-01,40564.03009001892
2021-02,41140.977212707316
2021-03,42029.70823250099
2021-04,41960.80553560515
2021-05,42526.94730079826
2021-06,43855.98180327735
2021-07,41180.63654943664
2021-08,42396.01867349842
2021-09,41721.92412710118
2021-10,41855.5766476695
2021-11,41204.13863902235
2021-12,42248.798039579655
2022-01,41940.22418726825
2022-02,40554.865239948034
2022-03,40245.10775619708
2022-04,40060.77205484568
2022-05,39485.21731909051
2022-06,37841.068062762
2022-07,38621.488968302074
2022-08,39664.57606002385
2022-09,36022.92001904904
2022-10,34461.16653584717
2022-11,37568.56917368157
2022-12,36066.44512646149
2023-01,38220.8876915709
2023-02,36643.157181810755
2023-03,36773.78287883694
2023-04,36094.22674253008
2023-05,36621.64109453476
2023-06,37435.33470993243
2023-07,39236.30047878374
2023-08,37613.77978532344
2023-09,37616.71657112888
2023-10,36017.993316245025
2023-11,37871.27684205595
2023-12,38964.60923566333