Date,aaa
2007-06,10000
2007-07,10000
2007-08,10298.279819004563
2007-09,10462.96201059322
2007-10,10991.39730438635
2007-11,10043.458063866536
2007-12,10051.126297387087
2008-01,8790.432256663273
2008-02,8173.536673336498
2008-03,8003.378259629274
2008-04,8758.94129148176
2008-05,9303.548693637613
2008-06,8274.825901560143
2008-07,8408.725060723706
2008-08,9024.20836717689
2008-09,7923.8356172586
2008-10,7445.9845760665785
2008-11,6641.7126412567095
2008-12,6202.953634031576
2009-01,6561.707760442486
2009-02,6303.918187703717
2009-03,6624.928540958962
2009-04,7475.827506890006
2009-05,7249.798159869761
2009-06,7438.35477224413
2009-07,8063.243908564838
2009-08,8099.3252635243825
2009-09,8343.935090044983
2009-10,8008.243971978343
2009-11,8363.143045065093
2009-12,9172.20672021102
2010-01,8859.892217050727
2010-02,9526.291447966187
2010-03,10317.576701437432
2010-04,10668.0746583871
2010-05,10701.887898245519
2010-06,10086.19778184484
2010-07,10171.82908049733
2010-08,9922.432623432485
2010-09,10403.65764214139
2010-10,10885.922259155233
2010-11,11578.501065148112
2010-12,11789.057300397752
2011-01,11831.229855834932
2011-02,12065.080134540873
2011-03,11688.37864841387
2011-04,11481.846448494138
2011-05,11807.21035173151
2011-06,11523.22082885669
2011-07,11864.594355294827
2011-08,11129.212398399217
2011-09,11382.153607482029
2011-10,12092.0596778198
2011-11,12285.145489206769
2011-12,12643.806518215264
2012-01,13452.486558721206
2012-02,14027.92208229926
2012-03,14829.927067576695
2012-04,14818.861740649978
2012-05,14650.034535339872
2012-06,14956.01771666052
2012-07,15485.601970221542
2012-08,15845.113639911391
2012-09,15607.00458712917
2012-10,14792.505844990123
2012-11,14895.295227713306
2012-12,14574.592491617772
2013-01,14565.743903936644
2013-02,15092.285975957007
2013-03,15930.1584969827
2013-04,15987.505158936627
2013-05,16616.086046055465
2013-06,16128.469496254149
2013-07,16882.58017130109
2013-08,16868.616308838165
2013-09,17309.60100140406
2013-10,17988.771368987946
2013-11,18646.795222364948
2013-12,18954.547099552776
2014-01,18963.790859284552
2014-02,19497.655611079696
2014-03,19005.589747980248
2014-04,18851.087331605122
2014-05,20043.19855522822
2014-06,20575.500455011374
2014-07,21241.769524991552
2014-08,22628.75774697029
2014-09,23528.75474895373
2014-10,24272.665945980367
2014-11,25431.07712425613
2014-12,25534.21497317468
2015-01,26856.67238830228
2015-02,28941.88057467121
2015-03,29517.20300742638
2015-04,28841.693116206654
2015-05,30144.644531311482
2015-06,28831.599641694476
2015-07,30703.975308753514
2015-08,28000.05766263583
2015-09,27418.561409855152
2015-10,31004.616565107088
2015-11,32438.74536098027
2015-12,31041.300303555025
2016-01,28833.367028205532
2016-02,28429.273101742638
2016-03,29016.35664992625
2016-04,28054.1898278703
2016-05,29929.301091827016
2016-06,29365.433341417025
2016-07,31416.012001623323
2016-08,31672.361021041685
2016-09,32284.432297119583
2016-10,32417.515506403968
2016-11,33478.11504117936
2016-12,34150.45313635161
2017-01,35214.11543781977
2017-02,37270.84241647685
2017-03,37683.48229522919
2017-04,37861.25361449541
2017-05,38272.69796794301
2017-06,36714.340966553355
2017-07,37205.141381600224
2017-08,37616.51089085028
2017-09,37619.699402530896
2017-10,39884.986188370596
2017-11,39950.57282956385
2017-12,39661.03426979468
2018-01,41490.679749215065
2018-02,41771.05132433374
2018-03,39761.86977172883
2018-04,40710.22563318854
2018-05,44384.19873690533
2018-06,45009.86998653479
2018-07,45927.443416356335
2018-08,49006.30422565652
2018-09,49159.33221939668
2018-10,45927.53697566706
2018-11,45690.652882182934
2018-12,41297.72993509179
2019-01,44914.748260319735
2019-02,46485.09075254429
2019-03,49116.112320091386
2019-04,51876.507582870545
2019-05,47847.96454705009
2019-06,50470.337783727286
2019-07,52704.196318588554
2019-08,52225.17517531676
2019-09,53344.36937616974
2019-10,54330.767675672
2019-11,57407.87766150468
2019-12,58332.33152082729
2020-01,61052.13492335083
2020-02,57882.12567150443
2020-03,53571.61619591935
2020-04,62166.03376982421
2020-05,64504.138622638675
2020-06,68201.17485739785
2020-07,69210.9923641719
2020-08,76307.34464514047
2020-09,73376.35844082387
2020-10,71091.0054629241
2020-11,77085.8634178652
2020-12,79060.6013033539
2021-01,80169.49472770703
2021-02,80197.43592548254
2021-03,84091.27780857241
2021-04,86403.6672721094
2021-05,84518.76103975566
2021-06,92290.54265722963
2021-07,94802.12388742674
2021-08,99259.65646277895
2021-09,95639.15088812335
2021-10,102612.1824341055
2021-11,107087.72037115926
2021-12,108671.9526476627
2022-01,100925.82589905441
2022-02,95914.03386167751
2022-03,100861.756095987
2022-04,92023.23352076329
2022-05,89091.83370845557
2022-06,83630.04862260846
2022-07,95881.9053409479
2022-08,92726.90222662136
2022-09,85052.7562068624
2022-10,86946.26575797351
2022-11,87688.67456302399
2022-12,77578.92807563845
2023-01,84501.49548857567
2023-02,85830.84594893733
2023-03,91763.94144250557
2023-04,91319.02156309654
2023-05,101068.9544414886
2023-06,105830.84866629919
2023-07,108292.36552162444
2023-08,108120.07017876672
2023-09,105302.74374183222
2023-10,102876.91125554204
2023-11,110683.82728600103
2023-12,115508.68232154063