Data,iShares Edge MSCI World Momentum Factor UCITS ETF (Acc)
1994-06,10000
1994-07,9699.219379
1994-08,10022.96956385775
1994-09,9649.935273830319
1994-10,9790.528155503365
1994-11,9320.354910625734
1994-12,9560.748262158675
1995-01,9044.895477279633
1995-02,9019.735120211328
1995-03,9188.680348
1995-04,9407.780786425112
1995-05,9580.229674968532
1995-06,9753.006040757613
1995-07,10008.406250265689
1995-08,10245.326117920857
1995-09,10879.608258913726
1995-10,10837.904775953706
1995-11,11215.087891522677
1995-12,11555.754068855103
1996-01,12044.534253253487
1996-02,12283.800420418445
1996-03,12420.327609577349
1996-04,12648.829176325953
1996-05,13058.521637635204
1996-06,13235.17306508064
1996-07,12519.163305692104
1996-08,12560.242580057458
1996-09,13238.596183561354
1996-10,13391.632725670113
1996-11,13989.629643668955
1996-12,14151.558778609984
1997-01,15198.457562568625
1997-02,15912.961686717363
1997-03,15736.308360596737
1997-04,16776.54345532858
1997-05,17586.07121302239
1997-06,18771.084268278082
1997-07,20752.05465985541
1997-08,19594.17814835898
1997-09,20598.723611837202
1997-10,19182.118782739377
1997-11,19151.263945679428
1997-12,20183.50534612523
1998-01,21237.29968154384
1998-02,22578.24451676941
1998-03,24174.586261934888
1998-04,24558.993559920687
1998-05,24192.738408963032
1998-06,25283.121273766654
1998-07,26358.390282236353
1998-08,22210.415209149138
1998-09,21059.417068095387
1998-10,21767.51788077156
1998-11,23991.441177664878
1998-12,26119.744011832612
1999-01,28241.825485843277
1999-02,28086.11349727971
1999-03,29707.308811410487
1999-04,29926.41608242443
1999-05,29357.900093221248
1999-06,31911.47768398112
1999-07,30708.34693505725
1999-08,30936.031514419992
1999-09,30826.284784166543
1999-10,33559.50605399304
1999-11,37301.49484321959
1999-12,44291.81763
2000-01,42583.17327310473
2000-02,46462.534960388875
2000-03,48960.25453177117
2000-04,47779.248092571106
2000-05,43111.55594983532
2000-06,44311.801680547745
2000-07,43945.38038
2000-08,48373.25674
2000-09,43722.345051160366
2000-10,42890.04748
2000-11,40062.886128176644
2000-12,38601.48717578107
2001-01,36928.18419946413
2001-02,35305.66118955773
2001-03,34842.54003
2001-04,36291.69999906025
2001-05,37914.29733374673
2001-06,37279.86043674501
2001-07,35606.82125061538
2001-08,33527.227315417374
2001-09,30737.667575543466
2001-10,30247.100559854338
2001-11,31373.44048871688
2001-12,32154.100734951902
2002-01,32528.977253801557
2002-02,32381.89544141992
2002-03,33444.94759054887
2002-04,32316.077611706307
2002-05,31352.54734363464
2002-06,28349.545933452882
2002-07,27049.881214098255
2002-08,27020.64288299933
2002-09,25651.439863093143
2002-10,25488.451995798572
2002-11,25123.21133746305
2002-12,22951.010512204397
2003-01,21628.904599923495
2003-02,21587.936624078964
2003-03,21407.88218648946
2003-04,22344.666395284963
2003-05,21989.002441494762
2003-06,22951.94932796414
2003-07,23489.735766034933
2003-08,24658.38668417371
2003-09,23367.06976955369
2003-10,24773.21502132936
2003-11,24275.39931334137
2003-12,23828.32975900968
2004-01,24570.48867602619
2004-02,24979.141037882946
2004-03,26344.066170628044
2004-04,26045.61019451345
2004-05,25767.38314022592
2004-06,26662.705502687913
2004-07,25792.21382091686
2004-08,25961.198059989587
2004-09,26153.419757490283
2004-10,25935.167820851344
2004-11,26663.429712520585
2004-12,26623.63134900695
2005-01,27476.57499932425
2005-02,29174.976617410077
2005-03,29171.916727675212
2005-04,27953.510080350676
2005-05,30230.363538482656
2005-06,32138.131133175386
2005-07,33530.36647741248
2005-08,34281.27598022738
2005-09,36420.89176370018
2005-10,34968.69311301099
2005-11,36938.76231828895
2005-12,39174.65435
2006-01,41013.97452772714
2006-02,40855.75699228774
2006-03,41468.356310754316
2006-04,41416.368125678695
2006-05,37940.45518879461
2006-06,38164.609993167505
2006-07,37822.50921844437
2006-08,37683.30917875303
2006-09,38000.27928008984
2006-10,40197.98104332173
2006-11,40121.76826533346
2006-12,41541.55631616421
2007-01,42925.12637406039
2007-02,41979.138300081424
2007-03,42940.590414764585
2007-04,43598.63465938945
2007-05,45519.93140478357
2007-06,45046.328705493346
2007-07,44180.56242789785
2007-08,43638.761871392126
2007-09,45554.560070465894
2007-10,46732.09707426973
2007-11,43771.04663902575
2007-12,44254.749624914955
2008-01,39170.71123962595
2008-02,39107.19822828562
2008-03,37002.22687230576
2008-04,40148.61216854991
2008-05,41378.47090556739
2008-06,39997.74485391719
2008-07,37065.82723136589
2008-08,38300.66423
2008-09,32857.534626592795
2008-10,31804.871631927523
2008-11,29657.144555477615
2008-12,27904.378765703255
2009-01,27636.42473511603
2009-02,25101.41631368737
2009-03,25137.16888069213
2009-04,26260.72410983632
2009-05,26038.966639915507
2009-06,25713.200861466637
2009-07,27804.736894205704
2009-08,28068.72588645918
2009-09,28562.660394729548
2009-10,27894.398676014807
2009-11,28634.55920127647
2009-12,30695.525506132897
2010-01,29590.55629272016
2010-02,31286.59469620572
2010-03,33740.482225082815
2010-04,34586.08687
2010-05,34009.81326287732
2010-06,32794.063824610996
2010-07,33340.610913544726
2010-08,32704.369966217913
2010-09,33919.15538667525
2010-10,34899.96474388948
2010-11,37357.02212271472
2010-12,38312.31420617759
2011-01,37657.89981
2011-02,38628.334894824235
2011-03,38069.45494424947
2011-04,38289.13526488313
2011-05,38870.381414088886
2011-06,38344.22859
2011-07,38324.25069016683
2011-08,35706.360330011106
2011-09,36442.17485106263
2011-10,37459.82942579721
2011-11,39061.689070057444
2011-12,41107.848029493405
2012-01,40928.93631339871
2012-02,41913.25200774244
2012-03,43524.53664257516
2012-04,44375.67567767084
2012-05,45104.04887453547
2012-06,46254.99170679862
2012-07,48294.83054597993
2012-08,47665.59172793247
2012-09,47517.17435860226
2012-10,46255.089978998316
2012-11,46800.90107
2012-12,45854.48817342842
2013-01,46493.24585549416
2013-02,48713.66414
2013-03,51989.107990437944
2013-04,52487.01273591752
2013-05,52060.076197745555
2013-06,52000.58548553019
2013-07,52921.65947642443
2013-08,51521.12601612788
2013-09,53557.76235239096
2013-10,54572.53671398617
2013-11,55886.11977203509
2013-12,56712.02525762169
2014-01,56255.707431316005
2014-02,58181.27436
2014-03,56619.17782574035
2014-04,55702.25853
2014-05,58715.45190277926
2014-06,59723.31659122001
2014-07,59722.69160600171
2014-08,62477.35489445069
2014-09,64155.63420167725
2014-10,64990.87968766991
2014-11,67253.07169882866
2014-12,68436.18612930959
2015-01,73344.90700195082
2015-02,77571.21882159653
2015-03,80307.05922566346
2015-04,77269.24232394111
2015-05,80512.24720571333
2015-06,77637.15733050654
2015-07,81694.73003848286
2015-08,74585.98824261174
2015-09,71910.24477803585
2015-10,78167.38660969201
2015-11,81497.99719994327
2015-12,79184.70748743176
2016-01,75538.35783284542
2016-02,74761.13451298549
2016-03,75412.30113407112
2016-04,75408.95875593477
2016-05,78632.65360222217
2016-06,81150.32533791372
2016-07,83290.46969324251
2016-08,80839.27890257922
2016-09,81181.92767885902
2016-10,80277.25567484979
2016-11,82974.07737
2016-12,84955.68031000966
2017-01,86225.03678543842
2017-02,89566.89917243348
2017-03,90642.16993268067
2017-04,90309.0382
2017-05,91659.26273
2017-06,90317.1996
2017-07,90587.48605593812
2017-08,91117.37044818306
2017-09,93574.49743
2017-10,99231.61776478018
2017-11,99256.73682483932
2017-12,98337.47682310342
2018-01,102281.89073076966
2018-02,102601.02213387997
2018-03,98364.99397944564
2018-04,101341.1718849471
2018-05,107579.12950996838
2018-06,107546.62229860763
2018-07,109180.12826682378
2018-08,114910.39642651686
2018-09,116745.63796051736
2018-10,107585.38515852255
2018-11,108701.05598727334
2018-12,99855.42293957657
2019-01,105852.00170314174
2019-02,110407.92840300818
2019-03,115052.6587873984
2019-04,118901.58056712669
2019-05,115248.05434587543
2019-06,120042.50029129522
2019-07,123710.8472063289
2019-08,125052.50998100635
2019-09,125683.22915916744
2019-10,124184.77023043236
2019-11,129381.84544265244
2019-12,129560.7789146554
2020-01,135127.78706473514
2020-02,126253.33371269362
2020-03,113538.20325022022
2020-04,126059.83243177058
2020-05,130169.48881463167
2020-06,135403.29292369494
2020-07,136482.29179508562
2020-08,145857.16732220733
2020-09,143920.63871452646
2020-10,138896.8864252647
2020-11,148980.95541446932
2020-12,151681.51879242496
2021-01,154591.79230840234
2021-02,153758.13447598502
2021-03,159307.97434966452
2021-04,165067.8826656529
2021-05,161698.2728584157
2021-06,167859.74250363914
2021-07,170480.48926386706
2021-08,176706.6894
2021-09,173851.64281355453
2021-10,185830.28296723514
2021-11,184562.17385282717
2021-12,187844.0288758196
2022-01,175907.1494803474
2022-02,171405.34418507112
2022-03,180570.47243904177
2022-04,168566.68927760492
2022-05,165535.62407233438
2022-06,157890.2554037589
2022-07,167818.96090511198
2022-08,166721.74471854581
2022-09,158443.71781626277
2022-10,171266.04367082473
2022-11,172313.03083927275
2022-12,163483.86838668853
2023-01,162652.90880237173
2023-02,160531.0513
2023-03,158088.26057576723
2023-04,161031.19277093592
2023-05,157452.4554
2023-06,164738.87771235977
2023-07,166292.86100269525
2023-08,166465.0957623941
2023-09,163716.95104195032
2023-10,160365.13801844875
2023-11,170240.74217371442
2023-12,175823.25785147844
2024-01,189249.37068724554
2024-02,206505.678
2024-03,215701.4707843897
2024-04,208661.94519247787
2024-05,217697.34708236705
2024-06,228568.6612583342
