Date,Xtrackers Eurozone Government Bond 25+ UCITS ETF 1C
2006-06,10000
2006-07,10000
2006-08,10322.020121342635
2006-09,10555.31860977032
2006-10,10679.553932164936
2006-11,10742.265423964502
2006-12,10359.379823732175
2007-01,10186.315705067074
2007-02,10408.45893825242
2007-03,10190.463820549032
2007-04,10132.628476796552
2007-05,9832.446014657879
2007-06,9594.521559115192
2007-07,9908.775269474076
2007-08,9934.460532793026
2007-09,9854.610341291407
2007-10,10024.54341120808
2007-11,9949.11561545791
2007-12,9922.870464092133
2008-01,10180.535938827768
2008-02,10125.430224638814
2008-03,10037.495489927118
2008-04,9971.780216329824
2008-05,9721.78866567296
2008-06,9597.913084587635
2008-07,9942.785142161778
2008-08,10144.246927563458
2008-09,10028.20848366076
2008-10,10107.278331448515
2008-11,11122.569715223422
2008-12,11297.004536827424
2009-01,10695.920120195178
2009-02,10771.126117677735
2009-03,10864.522685925169
2009-04,11030.494552879914
2009-05,10469.306408028679
2009-06,10722.693204526593
2009-07,11168.04760883862
2009-08,11282.888586630072
2009-09,11405.572097984728
2009-10,11289.905741326314
2009-11,11441.102746724158
2009-12,11158.807674536947
2010-01,11318.10544730143
2010-02,11505.0106738208
2010-03,11591.406949585478
2010-04,11615.823763377271
2010-05,11860.378415045127
2010-06,11773.423447684845
2010-07,11925.41648160086
2010-08,13112.680755494419
2010-09,12647.802935143322
2010-10,12457.877203793387
2010-11,11830.154873556701
2010-12,11509.911332656484
2011-01,11362.743130193254
2011-02,11311.262718166163
2011-03,11090.8730675836
2011-04,11286.591383942536
2011-05,11499.53838981421
2011-06,11199.056363561192
2011-07,11501.861797511692
2011-08,11871.764850234485
2011-09,12406.137014249074
2011-10,11865.329383863238
2011-11,11558.771936590369
2011-12,12510.280938030059
2012-01,12508.557983768047
2012-02,12941.032610116228
2012-03,12904.336359023362
2012-04,12871.862326534258
2012-05,14024.496855367795
2012-06,12981.077426703323
2012-07,13671.374975818777
2012-08,13704.964693620988
2012-09,13754.917657197022
2012-10,13859.970897007504
2012-11,14148.089206623388
2012-12,14514.442480659483
2013-01,14212.212346611323
2013-02,14156.793124484151
2013-03,14357.338969455574
2013-04,15148.939735203327
2013-05,14507.814689788765
2013-06,14117.823631071533
2013-07,14214.294641609376
2013-08,13904.184597506404
2013-09,14066.516854516298
2013-10,14354.078139180961
2013-11,14351.007653764495
2013-12,14197.704734843423
2014-01,14935.243909713705
2014-02,15099.091645862076
2014-03,15387.348311462638
2014-04,15781.045808607942
2014-05,16107.639556058759
2014-06,16412.85571294835
2014-07,16857.221612696656
2014-08,17900.260614390234
2014-09,17640.699102666753
2014-10,17880.26303898472
2014-11,18652.90713717277
2014-12,19409.069879293227
2015-01,21332.347806689235
2015-02,21604.29786012562
2015-03,22983.553768842732
2015-04,21687.100246087473
2015-05,20520.25452291612
2015-06,18584.290020858978
2015-07,19893.74303758059
2015-08,19106.84744030986
2015-09,19830.421430019047
2015-10,20329.439402846972
2015-11,20170.107793134466
2015-12,19539.88349258196
2016-01,20882.772164231043
2016-02,21719.56810378593
2016-03,22021.984373836996
2016-04,21020.330507753883
2016-05,21737.994721338662
2016-06,24000.33846238451
2016-07,24607.467368371177
2016-08,24072.85754815361
2016-09,24131.401249213966
2016-10,22448.34491804471
2016-11,21371.048954152353
2016-12,21591.954284019273
2017-01,20124.84910545142
2017-02,20825.072067101893
2017-03,20511.125398887747
2017-04,20656.263357325224
2017-05,20808.003368847894
2017-06,20572.760688558636
2017-07,20610.23760638805
2017-08,21122.51916786868
2017-09,20724.158013613443
2017-10,21220.244418099093
2017-11,21641.585002197968
2017-12,21121.84022383356
2018-01,21311.19721918674
2018-02,21443.211897481873
2018-03,22381.81441282828
2018-04,22085.762008248894
2018-05,21824.41534867003
2018-06,22039.8810008268
2018-07,21878.230037781905
2018-08,21739.31585472308
2018-09,21602.957688597056
2018-10,21551.093792606272
2018-11,21666.88176437471
2018-12,22047.301141262702
2019-01,22697.29454224453
2019-02,22378.832184310824
2019-03,23557.11711546759
2019-04,23452.768918382288
2019-05,24381.877224504427
2019-06,26148.23304350074
2019-07,27284.55426199826
2019-08,29634.964517929773
2019-09,29285.057290847155
2019-10,28317.81568485629
2019-11,27737.20897900697
2019-12,26755.936311951173
2020-01,28922.485168762814
2020-02,29713.377954950953
2020-03,27552.86503148883
2020-04,28438.060723626804
2020-05,28279.81458672421
2020-06,28905.656069532495
2020-07,29868.309927463702
2020-08,29038.602837820177
2020-09,30443.472838437385
2020-10,31277.37665631196
2020-11,31352.01230892534
2020-12,31430.398544004616
2021-01,30722.87911480372
2021-02,28984.783986432743
2021-03,28566.65291610349
2021-04,27569.64503291227
2021-05,27070.172509762815
2021-06,27879.79166962475
2021-07,29494.582530409432
2021-08,28991.913048594248
2021-09,27970.99592242459
2021-10,28402.977634127816
2021-11,29400.778097003473
2021-12,27880.829354445028
2022-01,27234.408524700757
2022-02,25757.772240756527
2022-03,24643.973952254313
2022-04,21972.96883799445
2022-05,20451.19161703063
2022-06,19228.183122254355
2022-07,21653.824236269233
2022-08,19012.14972370783
2022-09,17296.662093509363
2022-10,17246.25881322521
2022-11,19031.30932175044
2022-12,16319.925246928999
2023-01,17420.743706706457