Date,Xtrackers Eurozone Government Bond UCITS ETF 1C
1998-11,10000
1998-12,10000
1999-01,10136.310000000001
1999-02,9994.17033352696
1999-03,10053.965794187523
1999-04,10159.579036328962
1999-05,10075.520329920166
1999-06,9902.458138198763
1999-07,9805.35237729131
1999-08,9786.142495674376
1999-09,9755.558682500056
1999-10,9740.43493176611
1999-11,9793.469342300825
1999-12,9741.175559953193
2000-01,9706.827753392947
2000-02,9766.255554109215
2000-03,9916.788527186032
2000-04,9914.161533831915
2000-05,9941.824371550154
2000-06,9973.242143844056
2000-07,10014.38000416031
2000-08,10013.587115566865
2000-09,10083.267881182834
2000-10,10128.824468782925
2000-11,10270.60468803396
2000-12,10420.296699263303
2001-01,10482.802782787465
2001-02,10531.974730837737
2001-03,10622.71915530673
2001-04,10486.017935087102
2001-05,10510.596567524612
2001-06,10592.072609837327
2001-07,10751.3464027028
2001-08,10857.396511050814
2001-09,10934.983748591172
2001-10,11207.876321793616
2001-11,11147.306489180592
2001-12,11035.86408651794
2002-01,11064.897814263803
2002-02,11076.036813263887
2002-03,10961.330403669592
2002-04,11079.796003999747
2002-05,11096.321485277009
2002-06,11285.507759139153
2002-07,11449.966501238749
2002-08,11602.18976597655
2002-09,11648.168801968799
2002-10,11759.319750953453
2002-11,11821.573672330283
2002-12,12050.40380196794
2003-01,12192.864490749078
2003-02,12325.042289543475
2003-03,12283.103870751569
2003-04,12293.880065246536
2003-05,12570.35760078229
2003-06,12559.934886028297
2003-07,12360.926433499952
2003-08,12387.299465808006
2003-09,12575.781310420009
2003-10,12409.005837934828
2003-11,12370.26430926844
2003-12,12525.134392414544
2004-01,12599.816907098126
2004-02,12770.577875390503
2004-03,12888.812952276185
2004-04,12754.6852915395
2004-05,12720.362825125792
2004-06,12760.969815318485
2004-07,12870.547153798218
2004-08,13046.609757266695
2004-09,13099.594555656977
2004-10,13221.709351723906
2004-11,13370.45023125949
2004-12,13459.890061357404
2005-01,13632.577713637802
2005-02,13550.794568642588
2005-03,13624.364195684395
2005-04,13826.1821342613
2005-05,13978.9752474303
2005-06,14133.503088088413
2005-07,14064.115963828102
2005-08,14205.493660922742
2005-09,14195.351685048567
2005-10,14039.389507447186
2005-11,14024.608230759653
2005-12,14160.218477825369
2006-01,14060.488135364263
2006-02,14079.618360581862
2006-03,13877.6832167077
2006-04,13761.228132031058
2006-05,13801.683197991024
2006-06,13761.832938343196
2006-07,13911.832374334757
2006-08,14072.818646323332
2006-09,14158.620576568977
2006-10,14195.243523357589
2006-11,14269.365452034168
2006-12,14079.460544035224
2007-01,14034.37180635522
2007-02,14177.654478009099
2007-03,14109.369118047902
2007-04,14090.00384980783
2007-05,13932.909674955046
2007-06,13847.359318660025
2007-07,14042.786701964498
2007-08,14175.405899592903
2007-09,14175.59835735131
2007-10,14279.6529776188
2007-11,14376.960797406704
2007-12,14322.490479767612
2008-01,14661.57277796096
2008-02,14735.770775368857
2008-03,14644.433448728549
2008-04,14552.359368133462
2008-05,14365.500262993784
2008-06,14207.538863320911
2008-07,14478.806413188397
2008-08,14670.70107963046
2008-09,14747.137869674238
2008-10,14879.582723981777
2008-11,15433.738900189981
2008-12,15607.989147870825
2009-01,15439.879901972252
2009-02,15560.11487749271
2009-03,15740.813474831859
2009-04,15830.62909951962
2009-05,15643.235746183242
2009-06,15837.53101947926
2009-07,16109.035852146522
2009-08,16187.745414231491
2009-09,16288.795819416353
2009-10,16303.843078923364
2009-11,16404.449884001886
2009-12,16261.64429261313
2010-01,16334.500311293257
2010-02,16531.032034615782
2010-03,16631.667490045867
2010-04,16511.00885459027
2010-05,16768.825849394572
2010-06,16642.074634369823
2010-07,16792.65799700365
2010-08,17237.131434274455
2010-09,17028.477997601545
2010-10,16940.166037678984
2010-11,16501.133630445816
2010-12,16425.169143725318
2011-01,16342.838988451118
2011-02,16338.871220162264
2011-03,16233.01436863826
2011-04,16320.225803986823
2011-05,16481.928574511017
2011-06,16416.103024831405
2011-07,16411.89174355163
2011-08,16890.109463980105
2011-09,17033.968020935838
2011-10,16712.43445962255
2011-11,16288.506814717424
2011-12,16955.385786952662
2012-01,17267.656735144203
2012-02,17570.34773009836
2012-03,17585.790861487327
2012-04,17547.602508407617
2012-05,17761.734497839338
2012-06,17606.180163459532
2012-07,17900.48532208519
2012-08,18031.249918940543
2012-09,18257.990393128955
2012-10,18392.067007757363
2012-11,18651.961033349096
2012-12,18785.357235181717
2013-01,18693.178234255334
2013-02,18730.26309598255
2013-03,18852.07526545369
2013-04,19325.409912313833
2013-05,19080.14167930278
2013-06,18797.509890393496
2013-07,18931.229242636226
2013-08,18834.844489221978
2013-09,18969.200235992805
2013-10,19232.311534106844
2013-11,19296.19167933378
2013-12,19175.515705770118
2014-01,19594.270480484844
2014-02,19721.925222272264
2014-03,19900.050138683313
2014-04,20086.741919555312
2014-05,20280.68772610765
2014-06,20495.380353438537
2014-07,20679.611746087572
2014-08,21064.05930799819
2014-09,21078.6191225133
2014-10,21130.115385187994
2014-11,21415.71407034801
2014-12,21645.229432762022
2015-01,22132.14901031481
2015-02,22299.77900943927
2015-03,22564.463509824436
2015-04,22243.30463193404
2015-05,21905.304238919813
2015-06,21336.179633711512
2015-07,21827.296846695215
2015-08,21593.09541682196
2015-09,21879.203540933402
2015-10,22100.286408348362
2015-11,22197.994879204467
2015-12,21966.387688335835
2016-01,22397.256233343014
2016-02,22609.731107866657
2016-03,22713.758835106346
2016-04,22454.56247845668
2016-05,22681.644004247286
2016-06,23195.555135803344
2016-07,23381.688262539104
2016-08,23300.37215308797
2016-09,23342.553531999998
2016-10,22844.083164073174
2016-11,22489.301457127945
2016-12,22652.60274916854
2017-01,22164.20904017207
2017-02,22420.715817574863
2017-03,22303.96910297779
2017-04,22400.942672048164
2017-05,22522.741424856926
2017-06,22395.011930683322
2017-07,22445.02203128201
2017-08,22631.92360511935
2017-09,22520.56500963217
2017-10,22743.717923539552
2017-11,22835.620235552917
2017-12,22633.87893611929
2018-01,22548.857262374666
2018-02,22591.83361550585
2018-03,22941.80645957524
2018-04,22859.789051613578
2018-05,22564.505037202875
2018-06,22741.392314784516
2018-07,22661.819052513
2018-08,22529.823182470875
2018-09,22499.818132527154
2018-10,22484.38385342565
2018-11,22614.571042498475
2018-12,22818.49602951598
2019-01,23066.044465060888
2019-02,22975.822911641866
2019-03,23391.151857588786
2019-04,23378.52611712895
2019-05,23631.70051899593
2019-06,24172.88479281083
2019-07,24568.461202265702
2019-08,25177.27438122063
2019-09,25075.229313543703
2019-10,24791.919333942373
2019-11,24559.086027395024
2019-12,24317.587823131034
2020-01,24926.049257096285
2020-02,25034.366235528098
2020-03,24398.571544346363
2020-04,24493.364005360992
2020-05,24554.23091572614
2020-06,24797.159138245905
2020-07,25050.67866669042
2020-08,24858.737717602104
2020-09,25204.15806858898
2020-10,25443.978846415223
2020-11,25466.93146792937
2020-12,25499.555681367183
2021-01,25342.51162817381
2021-02,24957.169489281234
2021-03,24896.972821625666
2021-04,24626.889780454654
2021-05,24471.966715327162
2021-06,24721.305700705656
2021-07,25171.70215593211
2021-08,25030.30275844537
2021-09,24721.702388641395
2021-10,24562.029473142735
2021-11,24991.92357924486
2021-12,24583.911680213623
2022-01,24311.269780752904
2022-02,23829.057821712267
2022-03,23275.486828287263
2022-04,22406.229756225846
2022-05,21965.00003563378
2022-06,21549.952009749442
2022-07,22423.892664962084
2022-08,21281.987980300906
2022-09,20449.244296588215
2022-10,20495.907616209297
2022-11,20982.584100517066
2022-12,20020.900781991837
2023-01,20496.900881670288